2015-05-15 15:23:39.0;192.168.122.196;185.14.30.218;TCP;IPv4;52;49250;unknown;80;HTTP;32;
2015-05-15 15:23:39.0;185.14.30.218;192.168.122.196;TCP;IPv4;52;80;HTTP;49250;unknown;32;
2015-05-15 15:23:39.0;192.168.122.196;185.14.30.218;TCP;IPv4;40;49250;unknown;80;HTTP;20;
2015-05-15 15:23:39.0;192.168.122.196;185.14.30.218;TCP;IPv4;414;49250;unknown;80;HTTP;394;
2015-05-15 15:23:39.0;185.14.30.218;192.168.122.196;TCP;IPv4;40;80;HTTP;49250;unknown;20;
2015-05-15 15:23:39.0;185.14.30.218;192.168.122.196;TCP;IPv4;448;80;HTTP;49250;unknown;428;
2015-05-15 15:23:39.0;192.168.122.196;192.168.122.2;UDP;IPv4;102;51648;unknown;53;Domain Name Server;82;
2015-05-15 15:23:39.0;192.168.122.2;192.168.122.196;UDP;IPv4;118;53;Domain Name Server;51648;unknown;98;
2015-05-15 15:23:39.0;192.168.122.196;178.63.174.153;TCP;IPv4;52;49258;unknown;80;HTTP;32;
2015-05-15 15:23:39.0;178.63.174.153;192.168.122.196;TCP;IPv4;52;80;HTTP;49258;unknown;32;
2015-05-15 15:23:39.0;192.168.122.196;178.63.174.153;TCP;IPv4;40;49258;unknown;80;HTTP;20;
2015-05-15 15:23:39.0;192.168.122.196;178.63.174.153;TCP;IPv4;673;49258;unknown;80;HTTP;653;
2015-05-15 15:23:39.0;192.168.122.196;185.14.30.218;TCP;IPv4;40;49250;unknown;80;HTTP;20;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;40;80;HTTP;49258;unknown;20;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;1407;80;HTTP;49258;unknown;1387;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;1407;80;HTTP;49258;unknown;1387;
2015-05-15 15:23:40.0;192.168.122.196;178.63.174.153;TCP;IPv4;40;49258;unknown;80;HTTP;20;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;1407;80;HTTP;49258;unknown;1387;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;1407;80;HTTP;49258;unknown;1387;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;1407;80;HTTP;49258;unknown;1387;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;1407;80;HTTP;49258;unknown;1387;
2015-05-15 15:23:40.0;192.168.122.196;178.63.174.153;TCP;IPv4;40;49258;unknown;80;HTTP;20;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;1407;80;HTTP;49258;unknown;1387;
2015-05-15 15:23:40.0;192.168.122.196;178.63.174.153;TCP;IPv4;40;49258;unknown;80;HTTP;20;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;1407;80;HTTP;49258;unknown;1387;
2015-05-15 15:23:40.0;192.168.122.196;178.63.174.153;TCP;IPv4;40;49258;unknown;80;HTTP;20;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;1407;80;HTTP;49258;unknown;1387;
2015-05-15 15:23:40.0;192.168.122.196;178.63.174.153;TCP;IPv4;40;49258;unknown;80;HTTP;20;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;1407;80;HTTP;49258;unknown;1387;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;1407;80;HTTP;49258;unknown;1387;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;1407;80;HTTP;49258;unknown;1387;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;1407;80;HTTP;49258;unknown;1387;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;1407;80;HTTP;49258;unknown;1387;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;1407;80;HTTP;49258;unknown;1387;
2015-05-15 15:23:40.0;192.168.122.196;178.63.174.153;TCP;IPv4;40;49258;unknown;80;HTTP;20;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;1407;80;HTTP;49258;unknown;1387;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;1407;80;HTTP;49258;unknown;1387;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;1407;80;HTTP;49258;unknown;1387;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;1407;80;HTTP;49258;unknown;1387;
2015-05-15 15:23:40.0;192.168.122.196;178.63.174.153;TCP;IPv4;40;49258;unknown;80;HTTP;20;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;1407;80;HTTP;49258;unknown;1387;
2015-05-15 15:23:40.0;192.168.122.196;178.63.174.153;TCP;IPv4;40;49258;unknown;80;HTTP;20;
2015-05-15 15:23:40.0;192.168.122.196;178.63.174.153;TCP;IPv4;40;49258;unknown;80;HTTP;20;
2015-05-15 15:23:40.0;192.168.122.196;178.63.174.153;TCP;IPv4;40;49258;unknown;80;HTTP;20;
2015-05-15 15:23:40.0;192.168.122.196;178.63.174.153;TCP;IPv4;40;49258;unknown;80;HTTP;20;
2015-05-15 15:23:40.0;178.63.174.153;192.168.122.196;TCP;IPv4;1407;80;HTTP;49258;unknown;1387;
